City1,Lat1,Long1,City2,Lat2,Long2,Year,Passenger_Trips,Seats
Penang,5.29714,100.277,Kota Kinabalu,5.93721,116.051,2020,2,131400
Penang,5.29714,100.277,Kuching,1.4847,110.347,2020,2,131400
Penang,5.29714,100.277,Kuala Lumpur,2.74558,101.71,2020,25,1642500
Penang,5.29714,100.277,Langkawi,6.32973,99.7287,2020,6,394200
Penang,5.29714,100.277,Malacca,2.26336,102.252,2020,2,131400
Penang,5.29714,100.277,Johor Bahru,1.64131,103.67,2020,7,459900
Sibu,2.2616,111.985,Johor Bahru,1.64131,103.67,2020,3,267180
Sibu,2.2616,111.985,Kuala Lumpur,2.74558,101.71,2020,10,657000
Sibu,2.2616,111.985,Kota Kinabalu,5.93721,116.051,2020,2,131400
Sibu,2.2616,111.985,Kuching,1.4847,110.347,2020,5,339450
Sandakan,5.9009,118.059,Kuala Lumpur,2.74558,101.71,2020,6,394200
Sandakan,5.9009,118.059,Kota Kinabalu,5.93721,116.051,2020,6,534360
Kuala Terengganu,5.38264,103.103,Kuala Lumpur,2.74558,101.71,2020,8,543120
Tawau,4.32016,118.128,Johor Bahru,1.64131,103.67,2020,1,137605
Tawau,4.32016,118.128,Kuala Lumpur,2.74558,101.71,2020,8,1100840
Tawau,4.32016,118.128,Kota Kinabalu,5.93721,116.051,2020,8,1100840
Alor Setar,6.18967,100.398,Kuala Lumpur,2.74558,101.71,2021,8,1100840
Alor Setar,6.18967,100.398,Johor Bahru,1.64131,103.67,2021,1,137605
Kota Kinabalu,5.93721,116.051,Kuala Lumpur,2.74558,101.71,2021,32,4403360
Kota Kinabalu,5.93721,116.051,Johor Bahru,1.64131,103.67,2021,2,275210
Kota Kinabalu,5.93721,116.051,Penang,5.29714,100.277,2021,4,105120
Kota Kinabalu,5.93721,116.051,Kota Baharu,6.16685,102.293,2021,1,64605
Kota Kinabalu,5.93721,116.051,Miri,4.32201,113.987,2021,2,52560
Kota Kinabalu,5.93721,116.051,Sibu,2.2616,111.985,2021,1,26280
Kota Kinabalu,5.93721,116.051,Tawau,4.32016,118.128,2021,7,452235
Kota Kinabalu,5.93721,116.051,Bintulu,3.12385,113.02,2021,1,59130
Kota Kinabalu,5.93721,116.051,Kuching,1.4847,110.347,2021,6,825630
Kota Kinabalu,5.93721,116.051,Sandakan,5.9009,118.059,2021,5,295650
Bintulu,3.12385,113.02,Kuala Lumpur,2.74558,101.71,2021,4,105120
Bintulu,3.12385,113.02,Kuching,1.4847,110.347,2021,5,131400
Bintulu,3.12385,113.02,Kota Kinabalu,5.93721,116.051,2021,1,26280
Ipoh,4.56797,101.092,Johor Bahru,1.64131,103.67,2021,1,64605
Ipoh,4.56797,101.092,Langkawi,6.32973,99.7287,2021,1,59130
Johor Bahru,1.64131,103.67,Miri,4.32201,113.987,2021,1,26280
Johor Bahru,1.64131,103.67,Sibu,2.2616,111.985,2021,2,127020
Johor Bahru,1.64131,103.67,Kota Kinabalu,5.93721,116.051,2021,2,52560
Johor Bahru,1.64131,103.67,Kuching,1.4847,110.347,2021,2,129210
Johor Bahru,1.64131,103.67,Tawau,4.32016,118.128,2021,1,137605
Johor Bahru,1.64131,103.67,Kuala Lumpur,2.74558,101.71,2021,11,650430
Johor Bahru,1.64131,103.67,Ipoh,4.56797,101.092,2021,1,63510
Johor Bahru,1.64131,103.67,Alor Setar,6.18967,100.398,2021,1,64605
Johor Bahru,1.64131,103.67,Kota Baharu,6.16685,102.293,2021,1,63510
Johor Bahru,1.64131,103.67,Penang,5.29714,100.277,2021,7,183960
Johor Bahru,1.64131,103.67,Langkawi,6.32973,99.7287,2021,1,64605
Kota Baharu,6.16685,102.293,Kota Kinabalu,5.93721,116.051,2021,1,26280
Kota Baharu,6.16685,102.293,Kuching,1.4847,110.347,2021,1,26280
Kota Baharu,6.16685,102.293,Johor Bahru,1.64131,103.67,2021,1,26280
Kota Baharu,6.16685,102.293,Kuala Lumpur,2.74558,101.71,2021,9,236520
Kuching,1.4847,110.347,Kuala Lumpur,2.74558,101.71,2021,20,525600
Kuching,1.4847,110.347,Langkawi,6.32973,99.7287,2021,1,64605
